Financial Year,Name,Address Line 1,Address Line 2,Suburb,State,Postcode,Lodged on behalf of,Associated Party,Total Receipts,Total Payments,Total Debts,Discretionary Benefits,Capital Contributions
2011-12,"Textile Clothing and Footwear Union of Aust - NSW, TAS, SA Br",Level 3,540 Elizabeth Street,MELBOURNE,VIC,3000,,Australian Labor Party (N.S.W. Branch); Australian Labor Party (South Australian Branch); Australian Labor Party (Tasmanian Branch),1692498,1853802,69452,0,0
2011-12,"Textiles, Clothing & Footwear Union (Vic & Qld & WA) Branch",Level 3,540 Elizabeth St,MELBOURNE,VIC,3000,,Australian Labor Party (Victorian Branch),1518564,1827250,46740,0,0
2011-12,The 500 Club (VIC),"L3, 104 Exhibition Street",,MELBOURNE,VIC,3000,,Liberal Party of Australia (Victorian Division),58852,64953,0,0,0
2011-12,The 500 Club (WA),PO Box Z5303,St Georges Terrace,PERTH,WA,6831,,Liberal Party (W.A. Division) Inc.,607092,278422,11817,0,0
2011-12,The Australian Workers' Union - Greater NSW Branch,PO Box 20,,GRANVILLE,NSW,2142,,Australian Labor Party (N.S.W. Branch),6130711,5648614,25087,0,0
2011-12,The Australian Workers Union - Newcastle Central Coast & Northern Regions Branch,PO Box 226,,MAYFIELD,NSW,2304,,Australian Labor Party (N.S.W. Branch),2636277,2326003,477825,0,0
2011-12,The Australian Workers' Union of Employees Queensland,GPO Box 88,,BRISBANE,QLD,4001,,Australian Labor Party (State of Queensland),16124367,15656061,5073806,0,0
2011-12,The Australian Workers' Union Victorian Branch,685 Spencer Street,,WEST MELBOURNE,VIC,3003,,Australian Labor Party (Victorian Branch),10535354,10254860,441111,0,0
2011-12,The Breweries & Bottleyards Employees' Industrial Union of Workers of Western Australia,PO Box 1455,,CANNING VALE ,WA,6970,,Australian Labor Party (Western Australian Branch),1316889,443014,191791,0,0
2011-12,The Chifley Research Centre Ltd,PO Box 6222,,KINGSTON,ACT,2604,,Australian Labor Party (ALP),261049,313891,0,0,0
2011-12,The Federation of Hunting Clubs Inc,PO Box 376,,BAULKHAM HILLS,NSW,1755,,Shooters and Fishers Party,38288,39261,2200,0,0
2011-12,The Food Preservers' Union of Western Australia Union of Workers,"5th Floor,",25 Barrack Street,PERTH,WA,6000,,Australian Labor Party (Western Australian Branch),55797,67242,7223,0,0
2011-12,The Free Enterprise Foundation,PO Box 292,,CANBERRA,ACT,2601,,Liberal Party of Australia; National Party of Australia,510000,514960,0,0,0
2011-12,The Geelong 500 Club Inc,PO Box 266,,Geelong,VIC,3220,,Liberal Party of Australia (Victorian Division); National Party of Australia - Victoria; Liberal Party of Australia,15049,12536,0,0,0
2011-12,The Green Institute Limited,GPO Box 557,,CANBERRA,ACT,2601,,Australian Greens,155579,136506,34853,0,0
2011-12,The Greenfields Foundation,PO Box 52,,DEAKIN WEST,ACT,2600,,Liberal Party of Australia,50006,52155,0,0,0
